type,target,field,order,title,label,text,image,href
home,,siteTitle,,,,影像校友会,,
home,,subtitle,,,,每月主题回顾,,
home,,heroTitle,,,,在缓慢的光里，整理影像与文字,,
home,,heroText,,,,这里收录个人影像项目、散文式笔记与评论。页面先以样稿填充，之后可以在后台表格里替换为你的真实作品。,,
home,,heroImage,,,,,/assets/hero.png,
home,,footerNote,,,,记录作品、放映与正在形成的想法。,,
sidebar,,,1,校友会介绍,,,,alumni-intro.html
sidebar,,,2,校友风采,,,,alumni-members.html
month,month-6,month,,6月,,,,
month,month-6,title,,迎夏,,,,
month,month-6,intro,,,,用影像记录夏日之前的风、光线和缓慢靠近的热。,,
month,month-6,heroImage,,,,,/assets/hero-month-6.jpg,
month,month-6,galleryTitle,,,,当月影展,,
month,month-6,reviewTitle,,,,6月迎夏记 · 精彩回顾,,
gallery,month-6,,1,,,,/assets/hero.png,
gallery,month-6,,2,,,,/assets/hero.png,
gallery,month-6,,3,,,,/assets/hero.png,
gallery,month-6,,4,,,,/assets/hero.png,
gallery,month-6,,5,,,,/assets/hero.png,
gallery,month-6,,6,,,,/assets/hero.png,
gallery,month-6,,7,,,,/assets/hero.png,
gallery,month-6,,8,,,,/assets/hero.png,
feature,month-6,,1,夏日前奏,,在明亮的午后里整理新的影像线索。,/assets/hero.png,
feature,month-6,,2,窗边练习,,光线经过窗帘时，日常也有了清晰的边缘。,/assets/hero.png,
feature,month-6,,3,短片札记,,把拍摄现场留下的碎片重新放回文字里。,/assets/hero.png,
month,month-5,month,,5月,,,,
month,month-5,title,,玩手作,,,,
month,month-5,intro,,,,5月我们走进手作世界，在校友会收获指尖的乐趣。,,
month,month-5,heroImage,,,,,/assets/hero-month-5.jpg,
month,month-5,galleryTitle,,,,玩手作影展照片,,
month,month-5,reviewTitle,,,,5月玩手作 · 精彩回顾,,
month,month-5,lifeTitle,,,,生活灵感,,
month,month-5,diaryTitle,,,,好好生活照片日记,,
lifeCard,month-5,,1,寻找非遗,打卡爱生活的100件事之寻找非遗,走近传统技艺，在一针一线、一笔一划里看见时间留下的温度。,/assets/hero.png,
lifeCard,month-5,,2,兴趣手作,打卡爱生活的100件事之兴趣手作,把日常兴趣做成可以触摸的作品，让灵感落在指尖。,/assets/hero.png,
lifeCard,month-5,,3,在大自然里DIY,打卡爱生活的100件事之在大自然里DIY,带着材料走进自然，把叶片、光影和风都变成创作的一部分。,/assets/hero.png,
lifeCard,month-5,,4,动手迎接夏天,打卡爱生活的100件事之动手迎接夏天,用一次轻快的手作，把夏天来临前的期待装进口袋。,/assets/hero.png,
gallery,month-5,,1,,,,/assets/hero.png,
gallery,month-5,,2,,,,/assets/hero.png,
gallery,month-5,,3,,,,/assets/hero.png,
gallery,month-5,,4,,,,/assets/hero.png,
gallery,month-5,,5,,,,/assets/hero.png,
gallery,month-5,,6,,,,/assets/hero.png,
gallery,month-5,,7,,,,/assets/hero.png,
gallery,month-5,,8,,,,/assets/hero.png,
gallery,month-5,,9,,,,/assets/hero.png,
gallery,month-5,,10,,,,/assets/hero.png,
gallery,month-5,,11,,,,/assets/hero.png,
gallery,month-5,,12,,,,/assets/hero.png,
diary,month-5,,1,,,,/assets/hero.png,
diary,month-5,,2,,,,/assets/hero.png,
diary,month-5,,3,,,,/assets/hero.png,
diary,month-5,,4,,,,/assets/hero.png,
diary,month-5,,5,,,,/assets/hero.png,
diary,month-5,,6,,,,/assets/hero.png,
feature,month-5,,1,寻找非遗,,走近传统技艺，感受手造的耐心与传承。,/assets/hero.png,
feature,month-5,,2,兴趣手作,,慢下来，享受手作带来的治愈时光。,/assets/hero.png,
feature,month-5,,3,在大自然里DIY,,走出教室，把手作灵感带进自然。,/assets/hero.png,
feature,month-5,,4,动手迎接夏天,,在家也能创造美好，点亮日常生活。,/assets/hero.png,
month,month-4,month,,4月,,,,
month,month-4,title,,去踏青,,,,
month,month-4,intro,,,,把镜头带到绿意里，记录一次轻盈的春日外出。,,
month,month-4,heroImage,,,,,/assets/hero-month-4.jpg,
month,month-4,galleryTitle,,,,当月影展,,
month,month-4,reviewTitle,,,,4月去踏青 · 精彩回顾,,
gallery,month-4,,1,,,,/assets/hero.png,
gallery,month-4,,2,,,,/assets/hero.png,
gallery,month-4,,3,,,,/assets/hero.png,
