type,target,field,order,title,label,text,image,href
home,,siteTitle,,,,影像校友会,,
home,,subtitle,,,,每月主题回顾,,
home,,footerNote,,,,记录作品、放映与正在形成的想法。,,
sidebar,,,1,校友会介绍,,,,alumni-intro.html
sidebar,,,2,校友风采,,,,alumni-members.html
month,month-6,title,,,,迎夏,,
month,month-6,intro,,,,用影像记录夏日之前的风、光线和缓慢靠近的热。,,
month,month-6,heroImage,,,,,/assets/hero-month-6.jpg,
month,month-5,title,,,,玩手作,,
month,month-5,intro,,,,5月我们走进手作世界，在校友会收获指尖的乐趣。,,
month,month-5,heroImage,,,,,/assets/hero-month-5.jpg,
month,month-5,galleryTitle,,,,玩手作影展照片,,
month,month-5,lifeTitle,,,,生活灵感,,
lifeCard,month-5,,1,寻找非遗,打卡爱生活的100件事之寻找非遗,走近传统技艺，在一针一线、一笔一划里看见时间留下的温度。,/assets/hero.png,
lifeCard,month-5,,2,兴趣手作,打卡爱生活的100件事之兴趣手作,把日常兴趣做成可以触摸的作品，让灵感落在指尖。,/assets/hero.png,
gallery,month-5,,1,,,,/assets/hero.png,
gallery,month-5,,2,,,,/assets/hero.png,
diary,month-5,,1,,,,/assets/hero.png,
diary,month-5,,2,,,,/assets/hero.png,
